Type Name,Sponsor Name,@Logo
Keystone,Merck,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/merck.svg
Diamond,Pydantic Logfire,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/pydantic_logfire.png
Platinum,QuantCo,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/quantco.svg
Platinum,E.On,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/eon.svg
Platinum,Zeiss,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/zeiss.svg
Platinum,Hopsworks,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/hopsworks.svg
Platinum,Rosenxt,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/rosenxt.svg
Platinum,Gurobi Optimization,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/gurobi.svg
Platinum,JetBrains,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/JetBrains-logo-RGB.svg
Platinum,MOSTLY AI,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/MOSTLY.AI_logo_full_colourGradient_RGB.svg
Platinum,Blue Yonder,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/blueyonder.svg
Platinum,Redis,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/redis.svg
Platinum,Okta,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/Auth0_Shield Lockup_Black_RGB.svg
Gold,Rosen,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/rosen_c.svg
Gold,Sovanta,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/sovanta.svg
Gold,ExperTeach,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/experteach.svg
Gold,Kraken,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/Stacked_ Kraken_logo_Dark_RGB.svg
Gold,prokube,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/prokube-logo-positive.svg
Gold,Heidelberger Druckmaschinen AG,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/heidelberger-druckmaschinen.png
Silver,inovex GmbH,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/inovex.svg
Silver,Lidl Stiftung & Co. KG,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/lidl.svg
Silver,Bausparkasse Schwäbisch Hall AG,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/bausparkasse-schwaebisch-hall.svg
Silver,REWE Group,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/REWEGr_RGB_mitSchutzraum.svg
Silver,Quansight,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/quansight.svg
Silver,items GmbH & Co. KG,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/items.svg
Silver,energy & meteo systems,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/em.svg
Silver,Cologne Intelligence,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/cologne_intelligence.svg
Silver,&effect data solutions GmbH,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/effect_data_solutions.svg
Silver,Innoflair,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/innoflair.svg
Silver,quattro research GmbH,/Users/hendorf/code/pioneershub/pyconde-website/assets/static/media/sponsors/quattro_research.svg
